"aha-compress","968","0","86016"
"aha-mont64","1304","0","86040"
"bs","176","120","86016"
"bubblesort","688","0","86424"
"cnt","464","0","86436"
"compress","1516","48","88540"
"cover","180","0","86016"
"crc","836","0","86788"
"crc32","1188","0","86016"
"ctl-stack","832","0","86032"
"ctl-string","1080","0","86044"
"ctl-vector","1220","0","86044"
"cubic","1552","0","86016"
"dijkstra","1160","400","86532"
"dtoa","6160","24","88360"
"duff","312","0","86216"
"edn","3080","0","87628"
"expint","520","0","86028"
"fac","168","0","86016"
"fasta","284","156","86016"
"fdct","1124","128","86016"
"fibcall","144","0","86016"
"fir","3208","0","86016"
"frac","1044","80","86016"
"huffbench","1432","4","86016"
"insertsort","308","0","86060"
"janne_complex","168","0","86024"
"jfdctint","1128","0","86272"
"lcdnum","183","0","86020"
"levenshtein","592","20","86016"
"ludcmp","1388","0","86356"
"matmult-float","1040","0","87220"
"matmult-int","2016","0","90820"
"mergesort","2216","0","86816"
"miniz","17620","4","88416"
"minver","1184","36","86168"
"nbody","1228","320","86016"
"ndes","2600","8","86392"
"nettle-arcfour","656","0","86292"
"nettle-cast128","15432","0","86116"
"nettle-des","7588","0","86160"
"nettle-md5","2240","80","86016"
"newlib-exp","900","0","86020"
"newlib-log","148","0","86020"
"newlib-mod","528","0","86020"
"newlib-sqrt","556","0","86064"
"ns","100","0","86016"
"nsichneu","14348","8","86076"
"picojpeg","8592","0","88376"
"prime","240","0","86028"
"qrduino","6900","0","86056"
"qsort","736","80","86416"
"qurt","856","36","86044"
"recursion","176","0","86024"
"rijndael","16164","12","86028"
"select","664","80","86024"
"sglib-arraybinsearch","200","400","86020"
"sglib-arrayheapsort","392","400","86416"
"sglib-arrayquicksort","448","400","86416"
"sglib-dllist","792","400","86016"
"sglib-hashtable","668","400","86096"
"sglib-listinsertsort","488","400","86016"
"sglib-listsort","336","400","86016"
"sglib-queue","416","400","86016"
"sglib-rbtree","1100","400","86016"
"slre","2536","64","86020"
"sqrt","592","0","86016"
"st","1600","4","87648"
"statemate","5396","0","86260"
"stb_perlin","4156","192","86016"
"stringsearch1","1152","104","90648"
"strstr","368","8","86016"
"tarai","412","0","86028"
"template","100","0","86016"
"trio-snprintf","3796","0","86024"
"trio-sscanf","4208","4","86560"
"ud","844","0","87780"
"whetstone","4036","4","86096"
"wikisort","4588","4","89220"
