"aha-compress","920","0","86016"
"aha-mont64","1256","0","86040"
"bs","176","120","86016"
"bubblesort","688","0","86424"
"cnt","416","0","86436"
"compress","1468","48","88540"
"cover","180","0","86016"
"crc","788","0","86788"
"crc32","1188","0","86016"
"ctl-stack","784","0","86032"
"ctl-string","5532","0","86044"
"ctl-vector","5672","0","86044"
"cubic","16500","4","86020"
"dijkstra","1112","400","86532"
"dtoa","10620","24","88360"
"duff","312","0","86216"
"edn","3032","0","87628"
"expint","472","0","86028"
"fac","168","0","86016"
"fasta","4920","156","86016"
"fdct","1076","128","86016"
"fibcall","144","0","86016"
"fir","3208","0","86016"
"frac","5464","80","86016"
"huffbench","1432","4","86016"
"insertsort","308","0","86060"
"janne_complex","168","0","86024"
"jfdctint","1128","0","86272"
"lcdnum","183","0","86020"
"levenshtein","544","20","86016"
"ludcmp","5840","0","86356"
"matmult-float","5500","0","87220"
"matmult-int","2016","0","90820"
"mergesort","6696","0","86816"
"miniz","17572","4","88416"
"minver","5684","36","86168"
"nbody","6208","324","86020"
"ndes","2552","8","86392"
"nettle-arcfour","608","0","86292"
"nettle-cast128","15384","0","86116"
"nettle-des","7540","0","86160"
"nettle-md5","2192","80","86016"
"newlib-exp","5356","0","86020"
"newlib-log","148","0","86020"
"newlib-mod","5160","0","86020"
"newlib-sqrt","5168","0","86064"
"ns","100","0","86016"
"nsichneu","14348","8","86076"
"picojpeg","8544","0","88376"
"prime","240","0","86028"
"qrduino","6852","0","86056"
"qsort","5208","80","86416"
"qurt","5280","36","86044"
"recursion","176","0","86024"
"rijndael","16116","12","86028"
"select","5140","80","86024"
"sglib-arraybinsearch","200","400","86020"
"sglib-arrayheapsort","392","400","86416"
"sglib-arrayquicksort","448","400","86416"
"sglib-dllist","744","400","86016"
"sglib-hashtable","620","400","86096"
"sglib-listinsertsort","440","400","86016"
"sglib-listsort","336","400","86016"
"sglib-queue","416","400","86016"
"sglib-rbtree","1052","400","86016"
"slre","2488","64","86020"
"sqrt","5016","0","86016"
"st","6028","4","87648"
"statemate","5348","0","86260"
"stb_perlin","8584","192","86016"
"stringsearch1","1104","104","90648"
"strstr","368","8","86016"
"tarai","364","0","86028"
"template","100","0","86016"
"trio-snprintf","5212","0","86024"
"trio-sscanf","4160","4","86560"
"ud","5308","0","87780"
"whetstone","8460","4","86096"
"wikisort","9060","4","89220"
